,assetTypeNumber,assetNumber,reportingPeriodBeginningDate,reportingPeriodEndingDate,originatorName,originationDate,originalLoanAmount,originalLoanTerm,loanMaturityDate,originalInterestRatePercentage,interestCalculationTypeCode,originalInterestRateTypeCode,originalInterestOnlyTermNumber,originalFirstPaymentDate,underwritingIndicator,gracePeriodNumber,paymentTypeCode,subvented,vehicleManufacturerName,vehicleModelName,vehicleNewUsedCode,vehicleModelYear,vehicleTypeCode,vehicleValueAmount,vehicleValueSourceCode,obligorCreditScoreType,obligorCreditScore,obligorIncomeVerificationLevelCode,obligorEmploymentVerificationCode,coObligorIndicator,paymentToIncomePercentage,obligorGeographicLocation,assetAddedIndicator,remainingTermToMaturityNumber,reportingPeriodModificationIndicator,servicingAdvanceMethodCode,reportingPeriodBeginningLoanBalanceAmount,nextReportingPeriodPaymentAmountDue,reportingPeriodInterestRatePercentage,nextInterestRatePercentage,servicingFeePercentage,servicingFlatFeeAmount,otherServicerFeeRetainedByServicer,otherAssessedUncollectedServicerFeeAmount,scheduledInterestAmount,scheduledPrincipalAmount,otherPrincipalAdjustmentAmount,reportingPeriodActualEndBalanceAmount,reportingPeriodScheduledPaymentAmount,totalActualAmountPaid,actualInterestCollectedAmount,actualPrincipalCollectedAmount,actualOtherCollectedAmount,servicerAdvancedAmount,interestPaidThroughDate,zeroBalanceEffectiveDate,zeroBalanceCode,currentDelinquencyStatus,primaryLoanServicerName,mostRecentServicingTransferReceivedDate,assetSubjectDemandIndicator,assetSubjectDemandStatusCode,repurchaseAmount,DemandResolutionDate,repurchaserName,repurchaseReplacementReasonCode,chargedoffPrincipalAmount,recoveredAmount,modificationTypeCode,paymentExtendedNumber,repossessedIndicator,repossessedProceedsAmount,LTV,loanDiff,StateUnemployment
17,DRIVE0201700003,"=""1029024""",10/01/2017,10-31-2017,SC,05/2012,18323.46,72,02/2019,0.1349,1,1,-,06/2012,True,1,2,0,FORD TRUCK,Explorer-V6,2,2007,3,16998.0,98,Bureau,472,2,2,1,0.03512515,TX,-,17,False,1,7179.24,0.0,0.1349,0.1349,0.04,-,-,0.0,29.9536,342.6264,0.0,0.0,372.58,7227.0,47.76,7179.24,0.0,-,09-18-2017,10/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,True,0.00,107.79774091069537,11144.22,3.9
103,DRIVE0201700003,"=""10631086""",10/01/2017,10-31-2017,SC,07/2014,19308.57,72,10/2020,0.1994,1,1,-,09/2014,True,2,2,0,Subaru,Impreza,2,2012,1,22866.0,3,Bureau,437,2,2,0,0.09595302,AZ,-,37,False,1,545.04,0.0,0.1994,0.1994,0.04,-,-,0.0,200.2632,261.5568,0.0,0.0,461.82,548.31,3.27,545.04,0.0,-,09-21-2017,10/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,True,0.00,84.44227236945684,18763.53,4.7
330,DRIVE0201700003,"=""10697195""",10/01/2017,10-31-2017,SC,08/2014,15637.05,48,09/2018,0.1287,1,1,-,10/2014,True,2,2,1,DODGE TRUCK,Ram 3500 Pickup-V8,1,2014,2,47649.0,98,Bureau,566,2,2,0,0.03883663,OH,-,12,False,1,5090.99,0.0,0.1287,0.1287,0.04,-,-,0.0,48.3148,370.1752,0.0,0.0,418.49,5315.89,141.81,5090.99,83.09,-,08-06-2017,10/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,32.81716300447018,10546.06,4.9
497,DRIVE0201700003,"=""1118030""",10/01/2017,10-31-2017,SC,05/2012,27168.0,72,11/2018,0.15,1,1,-,06/2012,True,1,2,1,DODGE,Charger-V6,1,2012,1,27573.0,98,Bureau,536,3,3,0,0.17807901,MS,-,14,False,1,11457.86,0.0,0.15,0.15,0.04,-,-,0.0,54.5631,519.9069,0.0,0.0,574.47,11687.66,164.8,11457.86,65.0,-,09-07-2017,10/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,98.53117179849853,15710.14,4.8
583,DRIVE0201700003,"=""1242160""",10/01/2017,10-31-2017,SC,05/2012,34107.0,72,03/2019,0.1099,1,1,-,06/2012,True,1,2,1,CHRYSLER,300-V6,1,2012,1,28852.0,98,Bureau,629,2,2,0,0.15448095,GA,-,18,False,1,17290.17,0.0,0.1099,0.1099,0.04,-,-,0.0,45.8361,603.1839,0.0,0.0,649.02,17776.96,145.77,17290.17,341.02,-,09-29-2017,10/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,118.2136420352142,16816.83,4.5
860,DRIVE0201700003,"=""13066510""",10/01/2017,10-31-2017,SC,07/2015,14376.0,60,07/2020,0.2105,1,1,-,08/2015,True,1,2,0,KIA,Optima-4 Cyl.,2,2011,1,10650.0,98,Bureau,531,3,3,0,0.05330295,TX,-,34,False,1,10233.65,0.0,0.2105,0.2105,0.04,-,-,0.0,172.0396,217.2804,0.0,0.0,389.32,10516.94,283.29,10233.65,0.0,-,09-08-2017,10/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,134.98591549295776,4142.35,3.9
1299,DRIVE0201700003,"=""1495898""",10/01/2017,10-31-2017,SC,06/2012,10198.84,72,11/2018,0.1728,1,1,-,07/2012,True,1,2,0,TOYOTA,Corolla-4 Cyl.,2,2010,1,14075.0,98,Bureau,637,2,2,1,0.02825625,NJ,-,14,False,1,4512.76,0.0,0.1728,0.1728,0.04,-,-,0.0,27.5869,200.8931,0.0,0.0,228.48,4628.13,115.37,4512.76,0.0,-,08-09-2017,10/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,72.46067495559502,5686.08,4.7
1442,DRIVE0201700003,"=""1582597""",10/01/2017,10-31-2017,SC,07/2012,19520.25,72,08/2018,0.21,1,1,-,08/2012,True,1,2,0,INFINITI,EX35-V6,2,2008,3,25850.0,98,Bureau,576,2,2,1,0.11604121,MA,-,11,False,1,5049.19,0.0,0.21,0.21,0.04,-,-,0.0,76.5184,402.4316,0.0,0.0,478.95,5118.91,69.72,5049.19,0.0,-,09-14-2017,10/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,75.51353965183752,14471.060000000001,3.5
1537,DRIVE0201700003,"=""1688643""",10/01/2017,10-31-2017,SC,07/2012,17720.0,72,08/2018,0.24,1,1,-,09/2012,True,2,2,0,HONDA,CIVIC,2,2010,1,12700.0,98,Bureau,594,3,3,0,0.08723889,MD,-,11,False,1,4274.09,0.0,0.24,0.24,0.04,-,-,0.0,87.6298,378.8802,0.0,0.0,466.51,4338.72,64.63,4274.09,0.0,-,09-11-2017,10/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,139.5275590551181,13445.91,4.0
1628,DRIVE0201700003,"=""178671""",10/01/2017,10-31-2017,SC,01/2012,20016.0,72,02/2018,0.1149,1,1,-,02/2012,False,1,2,0,CHEVROLET,Malibu-4 Cyl.,2,2011,1,13275.0,98,Bureau,661,2,2,0,0.08077917,GA,-,5,False,1,2200.22,0.0,0.1149,0.1149,0.04,-,-,0.0,12.7917,373.2383,0.0,0.0,386.03,2433.09,22.17,2200.22,210.7,-,10-27-2017,10/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,150.77966101694915,17815.78,4.5
1655,DRIVE0201700003,"=""1822254""",10/01/2017,10-31-2017,SC,08/2012,12083.8,60,05/2018,0.1652,1,1,-,09/2012,False,1,2,0,SCION,xA-4 Cyl.,2,2006,1,7750.0,98,Bureau,577,2,1,1,0.05227019,NY,-,8,True,1,2793.68,0.0,0.1652,0.1652,0.04,-,-,0.0,0.0,0.0,0.0,0.0,0.0,3023.17,71.51,2793.68,157.98,-,10-27-2017,10/2017,1,0,SC,-,False,-,-,-,-,-,-,-,3,0,False,-,155.92,9290.119999999999,4.7
1801,DRIVE0201700003,"=""1933634""",10/01/2017,10-31-2017,SC,08/2012,14819.54,72,05/2019,0.24,1,1,-,09/2012,True,1,2,0,KIA,FORTE,2,2011,1,12725.0,98,Bureau,-,3,3,0,0.15747412,TN,-,20,False,1,9730.96,0.0,0.24,0.24,0.04,-,-,0.0,76.3667,313.7833,0.0,0.0,390.15,11413.69,473.48,9730.96,1209.25,-,07-31-2017,10/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,True,0.00,116.46003929273085,5088.580000000002,3.3
1812,DRIVE0201700003,"=""1953988""",10/01/2017,10-31-2017,SC,08/2012,37206.83,72,01/2019,0.1212,1,1,-,09/2012,True,1,2,1,DODGE TRUCK,Ram 1500 Pickup-V8,1,2012,2,30894.0,98,Bureau,585,2,2,1,0.06761675,GA,-,16,False,1,14241.75,0.0,0.1212,0.1212,0.04,-,-,0.0,76.3666,653.3534,0.0,0.0,729.72,15436.7,392.51,14241.75,802.44,-,08-03-2017,10/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,120.43383828575129,22965.08,4.5
1847,DRIVE0201700003,"=""1979068""",10/01/2017,10-31-2017,SC,08/2012,20012.25,72,05/2019,0.18,1,1,-,10/2012,True,2,2,0,CHEVROLET,Cruze-4 Cyl.,1,2012,1,18486.0,98,Bureau,490,3,2,1,0.09893888,MN,-,20,False,1,12695.61,0.0,0.18,0.18,0.04,-,-,0.0,71.8189,384.6211,0.0,0.0,456.44,12895.96,200.35,12695.61,0.0,-,09-14-2017,10/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,108.25624797143784,7316.639999999999,3.3
1954,DRIVE0201700003,"=""2048179""",10/01/2017,10-31-2017,SC,09/2012,15683.28,72,02/2019,0.1999,1,1,-,10/2012,True,1,2,0,CHEVROLET,SEDAN,2,2010,1,14375.0,98,Bureau,-,3,3,1,0.04366792,WI,-,17,False,1,8780.32,0.0,0.1999,0.1999,0.04,-,-,0.0,64.9746,310.5954,0.0,0.0,375.57,8914.96,134.64,8780.32,0.0,-,10-20-2017,10/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,109.10107826086957,6902.960000000001,3.2
1995,DRIVE0201700003,"=""2049872""",10/01/2017,10-31-2017,SC,08/2012,25856.91,72,09/2018,0.2013,1,1,-,09/2012,True,1,2,0,JEEP,WRANGLER,2,2011,3,25225.0,98,Bureau,587,2,2,0,0.13034257,TX,-,12,False,1,7624.85,0.0,0.2013,0.2013,0.04,-,-,0.0,103.8982,517.4018,0.0,0.0,621.3,7784.65,159.8,7624.85,0.0,-,08-25-2017,10/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,102.50509415262637,18232.059999999998,3.9
2270,DRIVE0201700003,"=""3905008""",10/01/2017,10-31-2017,SC,09/2012,13300.06,72,03/2019,0.1823,1,1,-,11/2012,True,2,2,0,CHEVROLET,Impala-V6,2,2010,1,13799.0,98,Bureau,484,3,2,0,0.07957019,FL,-,18,False,1,6191.51,0.0,0.1823,0.1823,0.04,-,-,0.0,52.4033,252.6767,0.0,0.0,305.08,6757.4,129.88,6191.51,436.01,-,09-07-2017,10/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,96.38423074135807,7108.549999999999,3.9
2456,DRIVE0201700003,"=""3939679""",10/01/2017,10-31-2017,SC,10/2012,20093.06,72,10/2018,0.21,1,1,-,11/2012,True,1,2,0,TOYOTA,CAMRY,2,2010,1,14925.0,98,Bureau,520,3,3,0,0.11514157,MA,-,13,False,1,5644.82,0.0,0.21,0.21,0.04,-,-,0.0,96.1571,396.8429,0.0,0.0,493.0,5781.74,136.92,5644.82,0.0,-,10-19-2017,10/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,134.6268676716918,14448.240000000002,3.5
2654,DRIVE0201700003,"=""3972994""",10/01/2017,10-31-2017,SC,10/2012,21000.16,72,03/2019,0.1059,1,1,-,11/2012,True,1,2,0,MITSUBISHI,Outlander-4 Cyl.,2,2009,3,19525.0,98,Bureau,662,2,2,0,0.13299667,OH,-,18,False,1,6443.87,0.0,0.1059,0.1059,0.04,-,-,0.0,39.3969,355.9231,0.0,0.0,395.32,6678.33,84.46,6443.87,150.0,-,10-06-2017,10/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,107.55523687580026,14556.29,4.9
2687,DRIVE0201700003,"=""3971872""",10/01/2017,10-31-2017,SC,10/2012,21629.51,72,10/2018,0.2028,1,1,-,11/2012,True,1,2,0,CADILLAC,DTS,2,2007,1,19118.0,3,Bureau,506,2,2,1,0.06657595,WA,-,13,False,1,5778.69,0.0,0.2028,0.2028,0.04,-,-,0.0,98.6128,422.9872,0.0,0.0,521.6,5971.34,192.65,5778.69,0.0,-,08-17-2017,10/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,113.13688670363007,15850.82,4.7
2798,DRIVE0201700003,"=""4001291""",10/01/2017,10-31-2017,SC,10/2012,15465.86,72,06/2019,0.2114,1,1,-,11/2012,True,1,2,0,VOLKSWAGEN,Jetta-5 Cyl.,2,2011,1,14998.0,98,Bureau,559,3,3,0,0.12932832,TX,-,21,False,1,10740.62,0.0,0.2114,0.2114,0.04,-,-,0.0,77.3273,303.4127,0.0,0.0,380.74,11064.1,323.48,10740.62,0.0,-,08-14-2017,10/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,103.11948259767969,4725.24,3.9
2819,DRIVE0201700003,"=""4004881""",10/01/2017,10-31-2017,SC,10/2012,15980.0,72,11/2018,0.1799,1,1,-,11/2012,True,1,2,0,TOYOTA,Camry-4 Cyl.,2,2009,1,14799.0,98,Bureau,435,2,2,1,0.08444879,SC,-,14,True,1,4281.89,0.0,0.1799,0.1799,0.04,-,-,0.0,61.9875,302.3925,0.0,0.0,364.38,4376.86,94.97,4281.89,0.0,-,09-09-2017,10/2017,1,0,SC,-,False,-,-,-,-,-,-,-,3,0,False,-,107.98026893709034,11698.11,4.2
2863,DRIVE0201700003,"=""4016171""",10/01/2017,10-31-2017,SC,10/2012,23961.3,72,10/2018,0.18,1,1,-,11/2012,True,1,2,1,JEEP,Liberty-V6,1,2012,3,27102.0,98,Bureau,513,2,2,1,0.07332618,MD,-,13,False,1,6381.02,0.0,0.18,0.18,0.04,-,-,0.0,96.1692,450.3308,0.0,0.0,546.5,6510.51,129.49,6381.02,0.0,-,10-08-2017,10/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,88.41155634270534,17580.28,4.0
2909,DRIVE0201700003,"=""4023296""",10/01/2017,10-31-2017,SC,09/2012,16170.0,72,05/2019,0.1993,1,1,-,11/2012,True,2,2,0,CHEVROLET,Malibu-V6,2,2009,1,14375.0,98,Bureau,445,2,2,0,0.11694612,NC,-,20,False,1,9307.36,0.0,0.1993,0.1993,0.04,-,-,0.0,71.9819,314.6781,0.0,0.0,386.66,9949.41,279.52,9307.36,362.53,-,09-06-2017,10/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,112.48695652173912,6862.639999999999,4.5
2982,DRIVE0201700003,"=""4019494""",10/01/2017,10-31-2017,SC,10/2012,11973.95,72,10/2018,0.1404,1,1,-,11/2012,True,1,2,0,HONDA,Fit-4 Cyl.,2,2010,1,16775.0,98,Bureau,627,2,2,0,0.11903333,FL,-,13,False,1,2986.17,0.0,0.1404,0.1404,0.04,-,-,0.0,32.1005,214.8895,0.0,0.0,246.99,3001.1,14.93,2986.17,0.0,-,10-09-2017,10/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,71.37973174366617,8987.78,3.9
3002,DRIVE0201700003,"=""4023264""",10/01/2017,10-31-2017,SC,10/2012,15708.02,72,10/2018,0.1576,1,1,-,11/2012,True,1,2,1,Dodge,Journey,1,2013,3,21561.0,98,Bureau,568,2,2,0,0.11357,TX,-,13,False,1,1870.19,0.0,0.1576,0.1576,0.04,-,-,0.0,51.1063,287.5537,0.0,0.0,338.66,1892.8,22.61,1870.19,0.0,-,09-14-2017,10/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,72.85385650016232,13837.83,3.9
3324,DRIVE0201700003,"=""4052746""",10/01/2017,10-31-2017,SC,10/2012,25414.56,72,10/2018,0.1059,1,1,-,11/2012,True,1,2,0,Ford,F250 Super Duty Super Cab,2,2008,2,22415.0,98,Bureau,605,2,2,0,0.14412841,WA,-,13,False,1,5893.52,0.0,0.1059,0.1059,0.04,-,-,0.0,49.8921,428.5279,0.0,0.0,478.42,5932.85,39.33,5893.52,0.0,-,09-24-2017,10/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,113.38193174213697,19521.04,4.7
