,assetTypeNumber,assetNumber,reportingPeriodBeginningDate,reportingPeriodEndingDate,originatorName,originationDate,originalLoanAmount,originalLoanTerm,loanMaturityDate,originalInterestRatePercentage,interestCalculationTypeCode,originalInterestRateTypeCode,originalInterestOnlyTermNumber,originalFirstPaymentDate,underwritingIndicator,gracePeriodNumber,paymentTypeCode,subvented,vehicleManufacturerName,vehicleModelName,vehicleNewUsedCode,vehicleModelYear,vehicleTypeCode,vehicleValueAmount,vehicleValueSourceCode,obligorCreditScoreType,obligorCreditScore,obligorIncomeVerificationLevelCode,obligorEmploymentVerificationCode,coObligorIndicator,paymentToIncomePercentage,obligorGeographicLocation,assetAddedIndicator,remainingTermToMaturityNumber,reportingPeriodModificationIndicator,servicingAdvanceMethodCode,reportingPeriodBeginningLoanBalanceAmount,nextReportingPeriodPaymentAmountDue,reportingPeriodInterestRatePercentage,nextInterestRatePercentage,servicingFeePercentage,servicingFlatFeeAmount,otherServicerFeeRetainedByServicer,otherAssessedUncollectedServicerFeeAmount,scheduledInterestAmount,scheduledPrincipalAmount,otherPrincipalAdjustmentAmount,reportingPeriodActualEndBalanceAmount,reportingPeriodScheduledPaymentAmount,totalActualAmountPaid,actualInterestCollectedAmount,actualPrincipalCollectedAmount,actualOtherCollectedAmount,servicerAdvancedAmount,interestPaidThroughDate,zeroBalanceEffectiveDate,zeroBalanceCode,currentDelinquencyStatus,primaryLoanServicerName,mostRecentServicingTransferReceivedDate,assetSubjectDemandIndicator,assetSubjectDemandStatusCode,repurchaseAmount,DemandResolutionDate,repurchaserName,repurchaseReplacementReasonCode,chargedoffPrincipalAmount,recoveredAmount,modificationTypeCode,paymentExtendedNumber,repossessedIndicator,repossessedProceedsAmount,LTV,loanDiff,StateUnemployment
345,SDART0201700003,"=""1122791""",09/01/2017,09-30-2017,SC,05/2012,13227.16,72,05/2018,0.2499,1,1,-,06/2012,False,1,2,0,Cadillac,DeVille,2,2004,1,10998.0,98,Bureau,-,3,2,0,0.08849621,MA,-,9,False,1,3096.17,0.0,0.2499,0.2499,0.03,-,-,0.0,57.2302,298.9898,0.0,0.0,356.22,3212.92,101.75,3096.17,15.0,-,07-26-2017,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,120.26877614111658,10130.99,3.6
712,SDART0201700003,"=""1277620""",09/01/2017,09-30-2017,SC,05/2012,26853.46,72,03/2019,0.1678,1,1,-,06/2012,True,1,2,1,DODGE,Challenger-V6,1,2012,1,28173.0,98,Bureau,469,3,3,0,0.1346497,TX,-,19,False,1,16830.03,0.0,0.1678,0.1678,0.03,-,-,0.0,70.0343,524.0557,0.0,0.0,594.09,19191.02,185.7,16830.03,2175.29,-,08-25-2017,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,True,0.00,95.3162957441522,10023.43,4.0
989,SDART0201700003,"=""1416031""",09/01/2017,09-30-2017,SC,06/2012,16626.15,72,06/2018,0.0844,1,1,-,07/2012,True,1,2,0,VOLKSWAGEN,Jetta-5 Cyl.,2,2010,1,16700.0,98,Bureau,657,2,2,0,0.10211379,DE,-,10,False,1,2991.99,0.0,0.0844,0.0844,0.03,-,-,0.0,19.0142,276.0858,0.0,0.0,295.1,3094.1,0.89,2991.99,101.22,-,09-05-2017,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,99.55778443113773,13634.160000000002,4.5
1203,SDART0201700003,"=""1476112""",09/01/2017,09-30-2017,SC,06/2012,22178.0,72,07/2018,0.18,1,1,-,08/2012,True,2,2,0,NISSAN,Rogue-4 Cyl.,2,2010,3,22125.0,98,Bureau,453,2,2,1,0.04076534,DE,-,11,False,1,5709.92,0.0,0.18,0.18,0.03,-,-,0.0,73.2391,432.5909,0.0,0.0,505.83,5835.75,70.39,5709.92,55.44,-,08-14-2017,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,100.23954802259887,16468.08,4.5
1440,SDART0201700003,"=""1670803""",09/01/2017,09-30-2017,SC,07/2012,18605.18,72,10/2018,0.2499,1,1,-,09/2012,True,2,2,0,FIAT,500-4 Cyl.,1,2012,1,20653.0,98,Bureau,588,2,2,0,0.067444,NY,-,14,True,1,6036.27,0.0,0.2499,0.2499,0.03,-,-,0.0,106.0674,394.9926,0.0,0.0,501.06,6653.48,136.7,6036.27,480.51,-,09-14-2017,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,3,0,False,-,90.08463661453541,12568.91,4.7
1599,SDART0201700003,"=""1706503""",09/01/2017,09-30-2017,SC,07/2012,14848.6,72,08/2018,0.2124,1,1,-,08/2012,True,1,2,0,FORD,FUSION,2,2009,1,11875.0,98,Bureau,536,3,3,0,0.09804824,VA,-,12,False,1,4189.57,0.0,0.2124,0.2124,0.03,-,-,0.0,64.3124,302.1076,0.0,0.0,366.42,4296.84,107.27,4189.57,0.0,-,08-16-2017,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,125.04084210526317,10659.03,3.6
1662,SDART0201700003,"=""1743880""",09/01/2017,09-30-2017,SC,08/2012,22585.12,72,05/2019,0.0623,1,1,-,09/2012,True,1,2,0,FORD,FUSION,2,2010,1,16300.0,98,Bureau,878,2,2,1,0.08758117,TX,-,21,False,1,9954.25,0.0,0.0623,0.0623,0.03,-,-,0.0,21.8625,354.8975,0.0,0.0,376.76,10379.12,56.07,9954.25,368.8,-,08-12-2017,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,138.55901840490796,12630.869999999999,4.0
2087,SDART0201700003,"=""1888124""",09/01/2017,09-30-2017,SC,08/2012,15568.47,72,01/2019,0.0714,1,1,-,09/2012,True,1,2,0,HONDA,Civic-4 Cyl.,2,2006,1,11700.0,98,Bureau,729,2,3,1,0.05995778,OH,-,17,False,1,3911.87,0.0,0.0714,0.0714,0.03,-,-,0.0,15.1996,251.2704,0.0,0.0,266.47,4089.17,27.3,3911.87,150.0,-,09-20-2017,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,133.06384615384616,11656.599999999999,5.0
2095,SDART0201700003,"=""1877077""",09/01/2017,09-30-2017,SC,08/2012,19803.0,72,07/2019,0.17,1,1,-,09/2012,True,1,2,0,SUBARU,Forester-4 Cyl.,2,2010,3,16525.0,98,Bureau,512,2,2,1,0.04405841,MA,-,23,False,1,13773.12,0.0,0.17,0.17,0.03,-,-,0.0,68.4282,372.1118,0.0,0.0,440.54,14349.12,200.94,13773.12,375.06,-,08-08-2017,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,True,0.00,119.83661119515885,6029.879999999999,3.6
2334,SDART0201700003,"=""194381""",09/01/2017,09-30-2017,SC,01/2012,27310.25,72,03/2018,0.18,1,1,-,02/2012,True,1,2,0,CHRYSLER,Town &amp; Country-V6,2,2009,1,20750.0,98,Bureau,538,3,3,1,0.06745147,NE,-,7,False,1,7570.97,0.0,0.18,0.18,0.03,-,-,0.0,44.686,578.204,0.0,0.0,622.89,8469.66,161.02,7570.97,737.67,-,09-09-2017,09/2017,1,0,SC,-,False,-,-,-,-,-,-,-,-,0,False,-,131.61566265060242,19739.28,2.9
